,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP.1,W,L,T/O,SV%,GAA,year,num_teams,round_ratio,round,1st_round,gpg,apg,ppg,name,alias,league
101,102,Nashville Predators,Mattias Ekholm\ekholma01,SE,D,19.0,2019.0,Mora (Sweden-2),400.0,31.0,96.0,127.0,52.0,193.0,,,,,,,2009,30,3.3666666666666667,4,False,0.0775,0.24,0.3175,Mattias Ekholm,ekholma01,Sweden-2
102,103,Minnesota Wild,Kris Foucault\foucakr01,CA,LW,18.0,2012.0,Calgary (WHL),1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2009,30,3.4,4,False,0.0,0.0,0.0,Kris Foucault,foucakr01,WHL
103,104,Buffalo Sabres,Marcus Foligno\foligma01,US,LW,18.0,2019.0,Sudbury (OHL),433.0,58.0,83.0,141.0,-14.0,413.0,,,,,,,2009,30,3.433333333333333,4,False,0.13394919168591224,0.19168591224018475,0.325635103926097,Marcus Foligno,foligma01,OHL
104,105,Phoenix Coyotes,Justin Weller\welleju01,CA,D,18.0,,Red Deer (WHL),,,,,,,,,,,,,2009,30,3.466666666666667,4,False,,,,Justin Weller,welleju01,WHL
105,106,Anaheim Ducks,Sami Vatanen\vatansa01,FI,D,18.0,2019.0,JYP HT Jyvaskyla Jr. ( ),344.0,36.0,122.0,158.0,22.0,150.0,,,,,,,2009,30,3.5,4,False,0.10465116279069768,0.3546511627906977,0.45930232558139533,Sami Vatanen,vatansa01, 
106,107,Florida Panthers,Garrett Wilson\wilsoga01,CA,LW,18.0,2016.0,Owen Sound (OHL),34.0,0.0,0.0,0.0,-6.0,24.0,,,,,,,2009,30,3.533333333333333,4,False,0.0,0.0,0.0,Garrett Wilson,wilsoga01,OHL
107,108,St. Louis Blues,Tyler Shattock\shattty01,CA,RW,19.0,,Kamloops (WHL),,,,,,,,,,,,,2009,30,3.566666666666667,4,False,,,,Tyler Shattock,shattty01,WHL
108,109,Montreal Canadiens,Alexander Avtsin\avtsial01,RU,RW,18.0,,Dynamo-2 Moscow (Russia-3),,,,,,,,,,,,,2009,30,3.6,4,False,,,,Alexander Avtsin,avtsial01,Russia-3
109,110,Nashville Predators,Nick Oliver\oliveni01,US,C,18.0,,Roseau (High-MN),,,,,,,,,,,,,2009,30,3.6333333333333333,4,False,,,,Nick Oliver,oliveni01,High-MN
110,111,Calgary Flames,Henrik Bjorklund\bjorkhe01,SE,RW,18.0,,Skare (Sweden-3),,,,,,,,,,,,,2009,30,3.6666666666666665,4,False,,,,Henrik Bjorklund,bjorkhe01,Sweden-3
111,112,Boston Bruins,Lane MacDermid\macdela01,US,LW,20.0,2014.0,Windsor (OHL),21.0,2.0,2.0,4.0,0.0,36.0,,,,,,,2009,30,3.7,4,False,0.09523809523809523,0.09523809523809523,0.19047619047619047,Lane MacDermid,macdela01,OHL
112,113,Vancouver Canucks,Jeremy Price\priceje01,CA,D,18.0,,Nepean (CJHL),,,,,,,,,,,,,2009,30,3.7333333333333334,4,False,,,,Jeremy Price,priceje01,CJHL
113,114,New Jersey Devils,Seth Helgeson\helgese01,US,D,18.0,2017.0,Sioux City (USHL),50.0,1.0,3.0,4.0,1.0,50.0,,,,,,,2009,30,3.7666666666666666,4,False,0.02,0.06,0.08,Seth Helgeson,helgese01,USHL
114,115,Washington Capitals,Patrick Wey\weypa01,US,D,18.0,2014.0,Waterloo (USHL),9.0,0.0,3.0,3.0,0.0,5.0,,,,,,,2009,30,3.8,4,False,0.0,0.3333333333333333,0.3333333333333333,Patrick Wey,weypa01,USHL
115,116,Minnesota Wild,Alex Fallstrom\fallsal01,SE,RW,19.0,,Shattuck-St. Mary's (High-MN),,,,,,,,,,,,,2009,30,3.8333333333333335,4,False,,,,Alex Fallstrom,fallsal01,High-MN
116,117,Atlanta Thrashers,Eddie Pasquale\pasqued01,CA,G,18.0,,Saginaw (OHL),,,,,,,,,,,,,2009,30,3.8666666666666667,4,False,,,,Eddie Pasquale,pasqued01,OHL
117,119,Chicago Blackhawks,Byron Froese\froesby01,CA,C,18.0,2018.0,Everett (WHL),110.0,5.0,11.0,16.0,-14.0,47.0,,,,,,,2009,30,3.933333333333333,4,False,0.045454545454545456,0.1,0.14545454545454545,Byron Froese,froesby01,WHL
118,120,Atlanta Thrashers,Ben Chiarot\chiarbe01,CA,D,18.0,2019.0,Guelph (OHL),237.0,9.0,38.0,47.0,10.0,154.0,,,,,,,2009,30,3.966666666666667,4,False,0.0379746835443038,0.16033755274261605,0.19831223628691982,Ben Chiarot,chiarbe01,OHL
119,121,Pittsburgh Penguins,Nick Petersen\peterni01,CA,RW,20.0,,Shawinigan (QMJHL),,,,,,,,,,,,,2009,30,4.0,5,False,,,,Nick Petersen,peterni01,QMJHL
120,122,New York Islanders,Anton Klementyev\klemean01,RU,D,19.0,2010.0,Lokomotiv Yaroslavl 2 (Russia-3),1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2009,30,4.033333333333333,5,False,0.0,0.0,0.0,Anton Klementyev,klemean01,Russia-3
121,123,Pittsburgh Penguins,Alex Velischek\velisal01,CA,D,18.0,,Delbarton (High-NJ),,,,,,,,,,,,,2009,30,4.066666666666666,5,False,,,,Alex Velischek,velisal01,High-NJ
122,124,Colorado Avalanche,Kieran Millan\millaki01,CA,G,20.0,,Boston University ( ),,,,,,,,,,,,,2009,30,4.1,5,False,,,,Kieran Millan,millaki01, 
123,125,Atlanta Thrashers,Cody Sol\solco01,CA,D,18.0,,Saginaw (OHL),,,,,,,,,,,,,2009,30,4.133333333333334,5,False,,,,Cody Sol,solco01,OHL
124,126,Los Angeles Kings,David Kolomatis\kolomda01,US,D,20.0,,Owen Sound (OHL),,,,,,,,,,,,,2009,30,4.166666666666667,5,False,,,,David Kolomatis,kolomda01,OHL
125,127,New York Rangers,Roman Horak\horakro01,CZ,C,18.0,2014.0,Ceske Budejovice (Czech),84.0,6.0,13.0,19.0,-3.0,16.0,,,,,,,2009,30,4.2,5,False,0.07142857142857142,0.15476190476190477,0.2261904761904762,Roman Horak,horakro01,Czech
126,128,Toronto Maple Leafs,Eric Knodel\knodeer01,US,D,19.0,,Philadelphia Jr. Flyers (USMAAA),,,,,,,,,,,,,2009,30,4.233333333333333,5,False,,,,Eric Knodel,knodeer01,USMAAA
127,129,Dallas Stars,Tomas Vincour\vincoto01,CZ,C,18.0,2015.0,Edmonton ( ),95.0,7.0,10.0,17.0,-9.0,12.0,,,,,,,2009,30,4.266666666666667,5,False,0.07368421052631578,0.10526315789473684,0.17894736842105263,Tomas Vincour,vincoto01, 
128,130,Ottawa Senators,Mike Hoffman\hoffmmi02,CA,C,19.0,2019.0,Drummondville (QMJHL),350.0,111.0,125.0,236.0,6.0,121.0,,,,,,,2009,30,4.3,5,False,0.3171428571428571,0.35714285714285715,0.6742857142857143,Mike Hoffman,hoffmmi02,QMJHL
129,131,Carolina Hurricanes,Matt Kennedy\kennema01,CA,RW,20.0,,Guelph (OHL),,,,,,,,,,,,,2009,30,4.333333333333333,5,False,,,,Matt Kennedy,kennema01,OHL
130,132,Nashville Predators,Gabriel Bourque\bourqga01,CA,LW,18.0,2019.0,Baie-Comeau (QMJHL),316.0,36.0,54.0,90.0,-21.0,60.0,,,,,,,2009,30,4.366666666666666,5,False,0.11392405063291139,0.17088607594936708,0.2848101265822785,Gabriel Bourque,bourqga01,QMJHL
131,133,Edmonton Oilers,Olivier Roy\royol01,CA,G,18.0,,Cape Breton (QMJHL),,,,,,,,,,,,,2009,30,4.4,5,False,,,,Olivier Roy,royol01,QMJHL
132,134,Buffalo Sabres,Mark Adams\adamsma01,US,D,18.0,,Malden Catholic (High-MA),,,,,,,,,,,,,2009,30,4.433333333333334,5,False,,,,Mark Adams,adamsma01,High-MA
133,135,Florida Panthers,Corban Knight\knighco01,CA,C,19.0,2019.0,Okotoks (AJHL),31.0,3.0,5.0,8.0,2.0,4.0,,,,,,,2009,30,4.466666666666667,5,False,0.0967741935483871,0.16129032258064516,0.25806451612903225,Corban Knight,knighco01,AJHL
134,136,Anaheim Ducks,Radoslav Illo\illora01,SK,C,19.0,,Tri-City (USHL),,,,,,,,,,,,,2009,30,4.5,5,False,,,,Radoslav Illo,illora01,USHL
135,137,Columbus Blue Jackets,Thomas Larkin\larkith01,GB,D,18.0,,Exeter (High-NH),,,,,,,,,,,,,2009,30,4.533333333333333,5,False,,,,Thomas Larkin,larkith01,High-NH
136,138,Florida Panthers,Wade Megan\meganwa01,US,C,19.0,2018.0,South Kent School (High-CT),4.0,1.0,0.0,1.0,1.0,0.0,,,,,,,2009,30,4.566666666666666,5,False,0.25,0.0,0.25,Wade Megan,meganwa01,High-CT
137,139,Montreal Canadiens,Gabriel Dumont\dumonga01,CA,C,18.0,2018.0,Drummondville (QMJHL),87.0,4.0,5.0,9.0,1.0,48.0,,,,,,,2009,30,4.6,5,False,0.04597701149425287,0.05747126436781609,0.10344827586206896,Gabriel Dumont,dumonga01,QMJHL
138,140,New York Rangers,Scott Stajcer\stajcsc01,CA,G,18.0,,Owen Sound (OHL),,,,,,,,,,,,,2009,30,4.633333333333334,5,False,,,,Scott Stajcer,stajcsc01,OHL
139,141,Calgary Flames,Spencer Bennett\bennesp01,CA,LW,18.0,,Surrey (BCHL),,,,,,,,,,,,,2009,30,4.666666666666667,5,False,,,,Spencer Bennett,bennesp01,BCHL
140,142,Philadelphia Flyers,Nic Riopel\riopeni01,CA,G,20.0,,Moncton (QMJHL),,,,,,,,,,,,,2009,30,4.7,5,False,,,,Nic Riopel,riopeni01,QMJHL
141,143,Vancouver Canucks,Peter Andersson\anderpe04,SE,D,18.0,,Vastra Frolunda Jr. ( ),,,,,,,,,,,,,2009,30,4.733333333333333,5,False,,,,Peter Andersson,anderpe04, 
142,144,New Jersey Devils,Derek Rodwell\rodwede01,CA,LW,19.0,,Okotoks (AJHL),,,,,,,,,,,,,2009,30,4.766666666666667,5,False,,,,Derek Rodwell,rodwede01,AJHL
143,145,Washington Capitals,Brett Flemming\flemmbr01,CA,D,18.0,,Mississauga St. Michael's (OHL),,,,,,,,,,,,,2009,30,4.8,5,False,,,,Brett Flemming,flemmbr01,OHL
144,146,Ottawa Senators,Jeff Costello\costeje01,US,LW,18.0,,Cedar Rapids (USHL),,,,,,,,,,,,,2009,30,4.833333333333333,5,False,,,,Jeff Costello,costeje01,USHL
145,147,San Jose Sharks,Phil Varone\varonph01,CA,C,18.0,2017.0,London (OHL),50.0,5.0,5.0,10.0,-18.0,18.0,,,,,,,2009,30,4.866666666666666,5,False,0.1,0.1,0.2,Phil Varone,varonph01,OHL
146,148,Tampa Bay Lightning,Michael Zador\zadormi01,CA,G,18.0,,Oshawa (OHL),,,,,,,,,,,,,2009,30,4.9,5,False,,,,Michael Zador,zadormi01,OHL
147,149,Chicago Blackhawks,Marcus Kruger\krugema01,SE,C,19.0,2019.0,Djurgarden (Sweden),456.0,36.0,77.0,113.0,10.0,214.0,,,,,,,2009,30,4.933333333333334,5,False,0.07894736842105263,0.16885964912280702,0.24780701754385964,Marcus Kruger,krugema01,Sweden
148,150,Detroit Red Wings,Nick Jensen\jenseni02,US,D,18.0,2019.0,Green Bay (USHL),138.0,6.0,25.0,31.0,-23.0,48.0,,,,,,,2009,30,4.966666666666667,5,False,0.043478260869565216,0.18115942028985507,0.2246376811594203,Nick Jensen,jenseni02,USHL
149,151,Pittsburgh Penguins,Andy Bathgate\bathgan02,CA,C,18.0,,Belleville (OHL),,,,,,,,,,,,,2009,30,5.0,6,False,,,,Andy Bathgate,bathgan02,OHL
150,152,New York Islanders,Anders Lee\leean01,US,C,19.0,2019.0,Edina (High-MN),351.0,126.0,86.0,212.0,-9.0,213.0,,,,,,,2009,30,5.033333333333333,6,False,0.358974358974359,0.245014245014245,0.603988603988604,Anders Lee,leean01,High-MN
151,153,Philadelphia Flyers,Dave Labrecque\labreda01,CA,C,19.0,,Shawinigan (QMJHL),,,,,,,,,,,,,2009,30,5.066666666666666,6,False,,,,Dave Labrecque,labreda01,QMJHL
152,154,Colorado Avalanche,Brandon Maxwell\maxwebr03,US,G,18.0,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,2009,30,5.1,6,False,,,,Brandon Maxwell,maxwebr03,USNTDP
153,155,Atlanta Thrashers,Jimmy Bubnick\bubniji01,CA,C,18.0,,Kamloops (WHL),,,,,,,,,,,,,2009,30,5.133333333333334,6,False,,,,Jimmy Bubnick,bubniji01,WHL
154,156,Los Angeles Kings,Michael Pelech\pelecmi01,CA,C,19.0,,Mississauga St. Michael's (OHL),,,,,,,,,,,,,2009,30,5.166666666666667,6,False,,,,Michael Pelech,pelecmi01,OHL
155,157,Phoenix Coyotes,Evan Bloodoff\bloodev01,CA,LW,18.0,,Kelowna (WHL),,,,,,,,,,,,,2009,30,5.2,6,False,,,,Evan Bloodoff,bloodev01,WHL
156,158,Toronto Maple Leafs,Jerry D'Amigo\damigje01,US,RW,18.0,2015.0,U.S. National U-18 (USNTDP),31.0,1.0,2.0,3.0,-5.0,2.0,,,,,,,2009,30,5.233333333333333,6,False,0.03225806451612903,0.06451612903225806,0.0967741935483871,Jerry D'Amigo,damigje01,USNTDP
157,159,Dallas Stars,Curtis McKenzie\mckencu01,CA,LW,18.0,2018.0,Penticton (BCHL),99.0,10.0,13.0,23.0,-1.0,131.0,,,,,,,2009,30,5.266666666666667,6,False,0.10101010101010101,0.13131313131313133,0.23232323232323232,Curtis McKenzie,mckencu01,BCHL
158,160,Ottawa Senators,Corey Cowick\cowicco01,CA,LW,20.0,,Ottawa (OHL),,,,,,,,,,,,,2009,30,5.3,6,False,,,,Corey Cowick,cowicco01,OHL
159,161,Minnesota Wild,Darcy Kuemper\kuempda01,CA,G,19.0,2019.0,Red Deer (WHL),134.0,0.0,2.0,2.0,0.0,6.0,134.0,55.0,42.0,19.0,0.9129999999999999,2.55,2009,30,5.333333333333333,6,False,0.0,0.014925373134328358,0.014925373134328358,Darcy Kuemper,kuempda01,WHL
160,162,Tampa Bay Lightning,Jaroslav Janus\janusja01,SK,G,19.0,,Erie (OHL),,,,,,,,,,,,,2009,30,5.366666666666666,6,False,,,,Jaroslav Janus,janusja01,OHL
161,163,Minnesota Wild,Jere Sallinen\sallije01,FI,RW,18.0,,Blues Espoo Jr. (Finland-Jr.),,,,,,,,,,,,,2009,30,5.4,6,False,,,,Jere Sallinen,sallije01,Finland-Jr.
162,164,Buffalo Sabres,Connor Knapp\knappco01,US,G,19.0,2014.0,Miami (Ohio) (CCHA),2.0,0.0,1.0,1.0,,0.0,2.0,0.0,0.0,1.0,0.875,3.14,2009,30,5.433333333333334,6,False,0.0,0.5,0.5,Connor Knapp,knappco01,Ohio
163,165,Florida Panthers,Scott Timmins\timmisc01,CA,C,20.0,2013.0,Windsor (OHL),24.0,1.0,0.0,1.0,-10.0,12.0,,,,,,,2009,30,5.466666666666667,6,False,0.041666666666666664,0.0,0.041666666666666664,Scott Timmins,timmisc01,OHL
164,166,Anaheim Ducks,Scott Valentine\valensc01,CA,D,18.0,,Oshawa (OHL),,,,,,,,,,,,,2009,30,5.5,6,False,,,,Scott Valentine,valensc01,OHL
165,167,Columbus Blue Jackets,Anton Blomqvist\blomqan01,SE,D,19.0,,Malmo Jr. ( ),,,,,,,,,,,,,2009,30,5.533333333333333,6,False,,,,Anton Blomqvist,blomqan01, 
166,168,St. Louis Blues,David Shields\shielda01,US,D,18.0,,Erie (OHL),,,,,,,,,,,,,2009,30,5.566666666666666,6,False,,,,David Shields,shielda01,OHL
167,169,Montreal Canadiens,Dustin Walsh\walshdu01,CA,C,18.0,,Kingston (OJHL),,,,,,,,,,,,,2009,30,5.6,6,False,,,,Dustin Walsh,walshdu01,OJHL
168,170,New York Rangers,Dan Maggio\maggida01,CA,D,18.0,,Sudbury (OHL),,,,,,,,,,,,,2009,30,5.633333333333334,6,False,,,,Dan Maggio,maggida01,OHL
169,171,Calgary Flames,Joni Ortio\ortiojo01,FI,G,18.0,2016.0,TPS Turku Jr. ( ),37.0,0.0,2.0,2.0,0.0,2.0,37.0,15.0,15.0,5.0,0.9009999999999999,2.66,2009,30,5.666666666666667,6,False,0.0,0.05405405405405406,0.05405405405405406,Joni Ortio,ortiojo01, 
170,172,Philadelphia Flyers,Eric Wellwood\wellwer01,CA,LW,19.0,2013.0,Windsor (OHL),31.0,5.0,5.0,10.0,13.0,4.0,,,,,,,2009,30,5.7,6,False,0.16129032258064516,0.16129032258064516,0.3225806451612903,Eric Wellwood,wellwer01,OHL
171,173,Vancouver Canucks,Joe Cannata\cannajo01,US,G,19.0,,Merrimack ( ),,,,,,,,,,,,,2009,30,5.733333333333333,6,False,,,,Joe Cannata,cannajo01, 
172,174,New Jersey Devils,Ashton Bernard\bernaas01,CA,LW,19.0,,Shawinigan (QMJHL),,,,,,,,,,,,,2009,30,5.766666666666667,6,False,,,,Ashton Bernard,bernaas01,QMJHL
173,175,Washington Capitals,Garrett Mitchell\mitchga01,CA,RW,18.0,2017.0,Regina (WHL),1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2009,30,5.8,6,False,0.0,0.0,0.0,Garrett Mitchell,mitchga01,WHL
174,176,Boston Bruins,Tyler Randell\randety01,CA,RW,18.0,2016.0,Kitchener (OHL),27.0,6.0,0.0,6.0,-2.0,47.0,,,,,,,2009,30,5.833333333333333,6,False,0.2222222222222222,0.0,0.2222222222222222,Tyler Randell,randety01,OHL
175,177,Chicago Blackhawks,David Pacan\pacanda01,CA,C,18.0,,Cumberland (CJHL),,,,,,,,,,,,,2009,30,5.866666666666666,6,False,,,,David Pacan,pacanda01,CJHL
176,178,Carolina Hurricanes,Rasmus Rissanen\rissara01,FI,D,18.0,2015.0,Kalpa Kuopio Jr. (Finland-Jr.),6.0,0.0,0.0,0.0,-5.0,4.0,,,,,,,2009,30,5.9,6,False,0.0,0.0,0.0,Rasmus Rissanen,rissara01,Finland-Jr.
177,179,Los Angeles Kings,Brandon Kozun\kozunbr01,US,RW,19.0,2015.0,Calgary (WHL),20.0,2.0,2.0,4.0,-3.0,6.0,,,,,,,2009,30,5.933333333333334,6,False,0.1,0.1,0.2,Brandon Kozun,kozunbr01,WHL
178,180,Detroit Red Wings,Mitch Callahan\callami01,US,RW,18.0,2017.0,Kelowna (WHL),5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2009,30,5.966666666666667,6,False,0.0,0.0,0.0,Mitch Callahan,callami01,WHL
179,181,Pittsburgh Penguins,Viktor Ekbom\ekbomvi01,SE,D,20.0,,Linkoping ( ),,,,,,,,,,,,,2009,30,6.0,7,False,,,,Viktor Ekbom,ekbomvi01, 
180,182,Minnesota Wild,Erik Haula\haulaer01,FI,LW,18.0,2019.0,Shattuck-St. Mary's (High-MN),351.0,72.0,74.0,146.0,15.0,158.0,,,,,,,2009,30,6.033333333333333,7,False,0.20512820512820512,0.21082621082621084,0.41595441595441596,Erik Haula,haulaer01,High-MN
181,183,Tampa Bay Lightning,Kirill Gotovets\gotovki01,BY,D,18.0,,Shattuck-St. Mary's (High-MN),,,,,,,,,,,,,2009,30,6.066666666666666,7,False,,,,Kirill Gotovets,gotovki01,High-MN
182,184,Colorado Avalanche,Gus Young\younggu01,US,D,18.0,,Nobles (High-MA),,,,,,,,,,,,,2009,30,6.1,7,False,,,,Gus Young,younggu01,High-MA
183,185,Atlanta Thrashers,Levko Koper\koperle01,CA,LW,18.0,,Spokane (WHL),,,,,,,,,,,,,2009,30,6.133333333333334,7,False,,,,Levko Koper,koperle01,WHL
184,186,Los Angeles Kings,Jordan Nolan\nolanjo01,CA,C,20.0,2018.0,Sault Ste. Marie (OHL),361.0,24.0,26.0,50.0,-26.0,333.0,,,,,,,2009,30,6.166666666666667,7,False,0.0664819944598338,0.07202216066481995,0.13850415512465375,Jordan Nolan,nolanjo01,OHL
185,187,Vancouver Canucks,Steven Anthony\anthost01,CA,LW,18.0,,Saint John (QMJHL),,,,,,,,,,,,,2009,30,6.2,7,False,,,,Steven Anthony,anthost01,QMJHL
186,188,Toronto Maple Leafs,Barron Smith\smithba02,US,D,18.0,,Peterborough (OHL),,,,,,,,,,,,,2009,30,6.233333333333333,7,False,,,,Barron Smith,smithba02,OHL
187,189,San Jose Sharks,Marek Viedensky\viedema01,SK,C,19.0,,Prince George (WHL),,,,,,,,,,,,,2009,30,6.266666666666667,7,False,,,,Marek Viedensky,viedema01,WHL
188,190,Ottawa Senators,Brad Peltz\peltzbr01,US,LW,19.0,,Avon Old Farms (High-CT),,,,,,,,,,,,,2009,30,6.3,7,False,,,,Brad Peltz,peltzbr01,High-CT
189,191,Ottawa Senators,Michael Sdao\sdaomi01,US,D,20.0,,Lincoln (USHL),,,,,,,,,,,,,2009,30,6.333333333333333,7,False,,,,Michael Sdao,sdaomi01,USHL
190,192,Nashville Predators,Cam Reid\reidca01,CA,C,18.0,,Westside (BCHL),,,,,,,,,,,,,2009,30,6.366666666666666,7,False,,,,Cam Reid,reidca01,BCHL
191,193,Minnesota Wild,Anthony Hamburg\hambuan01,US,C,18.0,,Dallas Stars AAA (MWEHL),,,,,,,,,,,,,2009,30,6.4,7,False,,,,Anthony Hamburg,hambuan01,MWEHL
192,194,Buffalo Sabres,Maxime Legault\legauma01,CA,RW,20.0,,Shawinigan (QMJHL),,,,,,,,,,,,,2009,30,6.433333333333334,7,False,,,,Maxime Legault,legauma01,QMJHL
193,195,Chicago Blackhawks,Paul Phillips\phillpa01,US,D,18.0,,Cedar Rapids (USHL),,,,,,,,,,,,,2009,30,6.466666666666667,7,False,,,,Paul Phillips,phillpa01,USHL
194,196,Philadelphia Flyers,Oliver Lauridsen\lauriol01,DK,D,20.0,2015.0,St. Cloud State (WCHA),16.0,2.0,1.0,3.0,-1.0,44.0,,,,,,,2009,30,6.5,7,False,0.125,0.0625,0.1875,Oliver Lauridsen,lauriol01,WCHA
195,197,Columbus Blue Jackets,Kyle Neuber\neubeky01,CA,RW,20.0,,Mississauga St. Michael's (OHL),,,,,,,,,,,,,2009,30,6.533333333333333,7,False,,,,Kyle Neuber,neubeky01,OHL
196,198,Los Angeles Kings,Nic Dowd\dowdni01,US,C,19.0,2019.0,Wenatchee (NAHL),140.0,10.0,18.0,28.0,-24.0,57.0,,,,,,,2009,30,6.566666666666666,7,False,0.07142857142857142,0.12857142857142856,0.2,Nic Dowd,dowdni01,NAHL
197,199,Montreal Canadiens,Michael Cichy\cichymi01,US,C,19.0,,Indiana (USHL),,,,,,,,,,,,,2009,30,6.6,7,False,,,,Michael Cichy,cichymi01,USHL
198,200,New York Rangers,Mikhail Pashnin\pashnmi01,RU,D,20.0,,Mechel Chelyabinsk (Russia-2),,,,,,,,,,,,,2009,30,6.633333333333334,7,False,,,,Mikhail Pashnin,pashnmi01,Russia-2
199,201,Calgary Flames,Gaelan Patterson\pattega01,CA,C,19.0,,Saskatoon (WHL),,,,,,,,,,,,,2009,30,6.666666666666667,7,False,,,,Gaelan Patterson,pattega01,WHL
200,202,St. Louis Blues,Max Tardy\tardyma01,US,C,18.0,,Duluth East (High-MN),,,,,,,,,,,,,2009,30,6.7,7,False,,,,Max Tardy,tardyma01,High-MN
201,203,Atlanta Thrashers,Jordan Samuels-Thomas\samuejo01,US,LW,19.0,,Waterloo (USHL),,,,,,,,,,,,,2009,30,6.733333333333333,7,False,,,,Jordan Samuels-Thomas,samuejo01,USHL
202,204,New Jersey Devils,Curtis Gedig\gedigcu01,CA,D,18.0,,Cowichan Valley (BCHL),,,,,,,,,,,,,2009,30,6.766666666666667,7,False,,,,Curtis Gedig,gedigcu01,BCHL
203,205,Washington Capitals,Benjamin Casavant\casavbe01,CA,LW,18.0,,PEI (QMJHL),,,,,,,,,,,,,2009,30,6.8,7,False,,,,Benjamin Casavant,casavbe01,QMJHL
204,206,Boston Bruins,Ben Sexton\sextobe01,CA,C,18.0,2018.0,Nepean (CJHL),2.0,0.0,0.0,0.0,-1.0,0.0,,,,,,,2009,30,6.833333333333333,7,False,0.0,0.0,0.0,Ben Sexton,sextobe01,CJHL
205,207,San Jose Sharks,Dominik Bielke\bielkdo01,DE,D,18.0,,Eisbaren Jrs. Berlin (German-3),,,,,,,,,,,,,2009,30,6.866666666666666,7,False,,,,Dominik Bielke,bielkdo01,German-3
206,208,Carolina Hurricanes,Tommi Kivisto\kivisto01,FI,D,18.0,,Red Deer (WHL),,,,,,,,,,,,,2009,30,6.9,7,False,,,,Tommi Kivisto,kivisto01,WHL
207,209,Chicago Blackhawks,David Gilbert\gilbeda01,CA,C,18.0,,Quebec (QMJHL),,,,,,,,,,,,,2009,30,6.933333333333334,7,False,,,,David Gilbert,gilbeda01,QMJHL
208,210,Detroit Red Wings,Adam Almqvist\almqvad01,SE,D,18.0,2014.0,HV 71 Jonkoping Jr. (Sweden-Jr.),2.0,1.0,0.0,1.0,-1.0,0.0,,,,,,,2009,30,6.966666666666667,7,False,0.5,0.0,0.5,Adam Almqvist,almqvad01,Sweden-Jr.
209,211,Montreal Canadiens,Petteri Simila\similpe01,FI,G,19.0,,Karpat Oulu Jr. ( ),,,,,,,,,,,,,2009,30,7.0,8,False,,,,Petteri Simila,similpe01, 
210,1,Edmonton Oilers,Taylor Hall\hallta02,CA,LW,18.0,2019.0,Windsor (OHL),536.0,192.0,292.0,484.0,-21.0,306.0,,,,,,,2010,30,0.0,1,True,0.3582089552238806,0.5447761194029851,0.9029850746268657,Taylor Hall,hallta02,OHL
211,2,Boston Bruins,Tyler Seguin\seguity01,CA,C,18.0,2019.0,Plymouth (OHL),599.0,232.0,284.0,516.0,69.0,185.0,,,,,,,2010,30,0.03333333333333333,1,True,0.38731218697829717,0.4741235392320534,0.8614357262103506,Tyler Seguin,seguity01,OHL
212,3,Florida Panthers,Erik Gudbranson\gudbrer01,CA,D,18.0,2019.0,Kingston (OHL),402.0,14.0,41.0,55.0,-71.0,424.0,,,,,,,2010,30,0.06666666666666667,1,True,0.03482587064676617,0.10199004975124377,0.13681592039800994,Erik Gudbranson,gudbrer01,OHL
213,4,Columbus Blue Jackets,Ryan Johansen\johanry01,CA,C,18.0,2019.0,Portland (WHL),522.0,118.0,234.0,352.0,15.0,326.0,,,,,,,2010,30,0.1,1,True,0.2260536398467433,0.4482758620689655,0.6743295019157088,Ryan Johansen,johanry01,WHL
214,5,New York Islanders,Nino Niederreiter\niedeni01,CH,RW,18.0,2019.0,Portland (WHL),461.0,103.0,107.0,210.0,22.0,219.0,,,,,,,2010,30,0.13333333333333333,1,True,0.22342733188720174,0.23210412147505424,0.455531453362256,Nino Niederreiter,niedeni01,WHL
215,6,Tampa Bay Lightning,Brett Connolly\connobr01,CA,RW,18.0,2019.0,Prince George (WHL),355.0,58.0,57.0,115.0,-1.0,176.0,,,,,,,2010,30,0.16666666666666666,1,True,0.16338028169014085,0.16056338028169015,0.323943661971831,Brett Connolly,connobr01,WHL
216,7,Carolina Hurricanes,Jeff Skinner\skinnje01,CA,C,18.0,2019.0,Kitchener (OHL),589.0,209.0,180.0,389.0,-87.0,270.0,,,,,,,2010,30,0.2,1,True,0.3548387096774194,0.30560271646859083,0.6604414261460102,Jeff Skinner,skinnje01,OHL
217,8,Atlanta Thrashers,Alexander Burmistrov\burmial01,RU,C,18.0,2018.0,Barrie (OHL),348.0,37.0,64.0,101.0,-31.0,139.0,,,,,,,2010,30,0.23333333333333334,1,True,0.10632183908045977,0.1839080459770115,0.29022988505747127,Alexander Burmistrov,burmial01,OHL
218,9,Minnesota Wild,Mikael Granlund\granlmi01,FI,C,18.0,2019.0,HIFK Helsinki (Finland),407.0,82.0,193.0,275.0,36.0,100.0,,,,,,,2010,30,0.26666666666666666,1,True,0.20147420147420148,0.4742014742014742,0.6756756756756757,Mikael Granlund,granlmi01,Finland
